section	key	ru	uk	de	es	fr	pl	it	tr	pt	ro	bg	cs	sk	hu	el	sl	et	lt
Stats	stats_empty_categories	Категории появятся после первых пройденных уроков.	"=GOOGLETRANSLATE(C27; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C27; ""ru""; ""lt"")"
Favorites	fav_title	❤️ Избранные слова	"=GOOGLETRANSLATE(C28; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C28; ""ru""; ""lt"")"
Favorites	fav_empty	У вас нет избранных слов	"=GOOGLETRANSLATE(C29; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C29; ""ru""; ""lt"")"
Favorites	fav_empty_sub	Добавляйте сложные слова в избранное, нажимая на ❤️ во время тренировок, чтобы повторять их отдельно.	"=GOOGLETRANSLATE(C30; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C30; ""ru""; ""lt"")"
Favorites	fav_start_btn	🎓 Перейти к тренировке	"=GOOGLETRANSLATE(C31; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C31; ""ru""; ""lt"")"
Favorites	fav_practice_btn	🔥 Повторить избранное	"=GOOGLETRANSLATE(C32; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C32; ""ru""; ""lt"")"
Dictionary	dict_title	📖 Мой словарь	"=GOOGLETRANSLATE(C33; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C33; ""ru""; ""lt"")"
Dictionary	dict_search	Поиск слова...	"=GOOGLETRANSLATE(C34; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C34; ""ru""; ""lt"")"
Dictionary	dict_filter_all	Все слова	"=GOOGLETRANSLATE(C35; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C35; ""ru""; ""lt"")"
Dictionary	dict_filter_learning	Изучаю	"=GOOGLETRANSLATE(C36; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C36; ""ru""; ""lt"")"
Dictionary	dict_filter_mastered	Выучено	"=GOOGLETRANSLATE(C37; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C37; ""ru""; ""lt"")"
Dictionary	dict_stage_cards	Карточки	"=GOOGLETRANSLATE(C38; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C38; ""ru""; ""lt"")"
Dictionary	dict_stage_quiz	Квиз	"=GOOGLETRANSLATE(C39; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C39; ""ru""; ""lt"")"
Dictionary	dict_stage_pairs	Пары	"=GOOGLETRANSLATE(C40; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C40; ""ru""; ""lt"")"
Dictionary	dict_stage_test	Тест	"=GOOGLETRANSLATE(C41; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C41; ""ru""; ""lt"")"
Dictionary	dict_add_word_btn	+ Добавить своё слово	"=GOOGLETRANSLATE(C42; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C42; ""ru""; ""lt"")"
Dictionary	dict_empty_search	Ничего не найдено	"=GOOGLETRANSLATE(C43; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C43; ""ru""; ""lt"")"
Modal_AddWord	addword_modal_title	➕ Добавить слово в словарь	"=GOOGLETRANSLATE(C44; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C44; ""ru""; ""lt"")"
Modal_AddWord	addword_input_word_label	Английское слово:	"=GOOGLETRANSLATE(C45; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C45; ""ru""; ""lt"")"
Modal_AddWord	addword_input_word_ph	например: knowledge	"=GOOGLETRANSLATE(C46; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C46; ""ru""; ""lt"")"
Modal_AddWord	addword_input_trans_label	Перевод:	"=GOOGLETRANSLATE(C47; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C47; ""ru""; ""lt"")"
Modal_AddWord	addword_input_trans_ph	например: знание	"=GOOGLETRANSLATE(C48; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C48; ""ru""; ""lt"")"
Modal_AddWord	addword_input_notes_label	Примечание / контекст (необязательно):	"=GOOGLETRANSLATE(C49; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C49; ""ru""; ""lt"")"
Modal_AddWord	addword_input_notes_ph	например: употребляется в формальной речи	"=GOOGLETRANSLATE(C50; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C50; ""ru""; ""lt"")"
